x,y,c
0,0,1
-73.9879,40.7379,0
-73.956,40.7796,0
-73.9557,40.6895,0
-73.984,40.7546,0
-73.9591,40.7693,0
-73.9822,40.7831,0
0,0,1
-73.9821,40.7768,0
-73.9848,40.7419,0
0,0,1
-73.9912,40.73,0
-73.791,40.6459,0
-73.9861,40.7559,0
-73.9536,40.771,0
-74.0073,40.7418,0
-74.0268,40.6564,0
-73.9512,40.7787,0
-74.0055,40.7401,0
-73.9844,40.76,0
-74.0033,40.7514,0
-73.967,40.7666,0
-73.9729,40.7826,0
-73.9942,40.7511,0
-73.9721,40.7509,0
-73.9814,40.7441,0
-73.9941,40.7513,0
-73.9577,40.7684,0
-73.9877,40.75,0
-73.9682,40.7649,0
-73.9235,40.761,0
-73.9594,40.809,0
-73.9708,40.7618,0
-73.9908,40.7508,0
-73.9835,40.7586,0
-73.9859,40.7628,0
-73.9708,40.762,0
-73.9916,40.7598,0
-73.9867,40.7666,0
-73.9816,40.7579,0
-73.9941,40.7512,0
-73.9948,40.7185,0
-73.9896,40.7354,0
-73.9984,40.7405,0
-74.0078,40.7409,0
-73.9747,40.7921,0
-73.9767,40.7886,0
-73.9656,40.7712,0
-73.9997,40.7581,0
0,0,1
-73.9918,40.7443,0
-73.9549,40.7683,0
-73.9502,40.7799,0
-73.9874,40.7702,0
-73.9718,40.7646,0
-74.0076,40.7264,0
-73.986,40.7626,0
-73.9872,40.7687,0
-74.0009,40.7256,0
-73.996,40.726,0
-73.9655,40.7687,0
-73.9804,40.7491,0
-73.956,40.7637,0
-73.9855,40.7309,0
-73.9741,40.7633,0
-73.9667,40.7571,0
-74.0018,40.7337,0
-73.9837,40.7663,0
-73.9728,40.7468,0
-73.9857,40.7555,0
-73.9647,40.764,0
-73.9888,40.7593,0
-74.0152,40.7094,0
-73.9662,40.7654,0
-73.9959,40.7386,0
-73.9623,40.7567,0
-73.9731,40.7544,0
-73.8677,40.7327,0
-73.9608,40.7968,0
-73.9946,40.7455,0
-73.9817,40.7739,0
-73.9923,40.7213,0
-73.9913,40.7499,0
-73.9827,40.7664,0
-73.9821,40.7626,0
-74.0106,40.7094,0
-73.9625,40.7727,0
-73.968,40.7873,0
-73.987,40.7611,0
-73.9981,40.7329,0
-73.8813,40.7447,0
-73.9966,40.6856,0
-73.9683,40.7998,0
-74.0017,40.7337,0
-73.9756,40.7628,0
-73.9852,40.7278,0
-73.9855,40.7316,0
-73.871,40.7737,0
-73.9782,40.7512,0
-73.9942,40.7513,0
-73.9976,40.7448,0
-74.006,40.7403,0
-73.967,40.7888,0
-73.977,40.7643,0
-73.9716,40.795,0
-74.0071,40.725,0
-73.9683,40.7554,0
-73.9878,40.744,0
-74.0044,40.7308,0
-73.9663,40.7621,0
-73.9844,40.7647,0
-73.9766,40.7904,0
-73.978,40.7294,0
-73.9823,40.7716,0
-73.9969,40.7238,0
